Cliente,valorTotal,qCom,uCom,vProd,vUnCom,xProd,indTot,qCom (2),uCom (2),vProd (2),vUnCom (2),xProd (2),indTot (2),qCom (3),uCom (3),vProd (3),vUnCom (3),xProd (3),indTot (3),qCom (4),uCom (4),vProd (4),vUnCom (4),xProd (4),Scored Labels
582,56.9,0.764,KG,52.41,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
583,40.03,0.518,KG,35.53,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
584,30.94,1,UN,3.5,3.5,AGUA,1,0.4,KG,27.44,68.6,BUFFET,,,"",,,"",,,"",,,"",
585,13.14,1,UN,4.5,4.5,SUCO,1,0.126,KG,8.64,68.6,BUFFET,,,"",,,"",,,"",,,"",
586,28.09,0.344,KG,23.59,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
587,41.81,1,UN,4.5,4.5,SUCO,1,0.544,KG,37.31,68.6,BUFFET,,,"",,,"",,,"",,,"",
588,31.11,0.388,KG,26.61,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
589,34.82,1,UN,4.5,4.5,LIMONADA,1,0.442,KG,30.32,68.6,BUFFET,,,"",,,"",,,"",,,"",
590,51.52,2,UN,9,4.5,SUCO,1,0.62,KG,42.53,68.6,BUFFET,,,"",,,"",,,"",,,"",
591,22.98,1,UN,3.5,3.5,AGUA,1,0.284,KG,19.48,68.6,BUFFET,,,"",,,"",,,"",,,"",
592,43.69,1,UN,3.5,3.5,AGUA,1,0.586,KG,40.19,68.6,BUFFET,,,"",,,"",,,"",,,"",
593,29.32,0.308,KG,21.12,68.6,BUFFET,1,1,UN,8.2,8.2,BULE CHA,,,"",,,"",,,"",,,"",
594,33.85,0.374,KG,25.65,68.6,BUFFET,1,1,UN,8.2,8.2,BULE CHA,,,"",,,"",,,"",,,"",
595,38.93,0.502,KG,34.43,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
596,104.03,1,UN,6.5,6.5,SUSHI ESPECIAL,1,1.422,KG,97.54,68.6,BUFFET,,,"",,,"",,,"",,,"",
597,33.13,1,UN,3.5,3.5,AGUA,1,0.432,KG,29.63,68.6,BUFFET,,,"",,,"",,,"",,,"",
598,33.44,0.422,KG,28.94,68.6,BUFFET,1,1,UN,4.5,4.5,SUCO,,,"",,,"",,,"",,,"",
599,38.11,0.49,KG,33.61,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
600,29.6,0.366,KG,25.1,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
601,29.6,1,UN,4.5,4.5,SUCO,1,0.366,KG,25.1,68.6,BUFFET,,,"",,,"",,,"",,,"",
602,31.94,0.4,KG,27.44,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
603,24.39,1,UN,4.5,4.5,SUCO,1,0.29,KG,19.89,68.6,BUFFET,,,"",,,"",,,"",,,"",
604,36.83,1,UN,3.5,3.5,AGUA,1,0.486,KG,33.33,68.6,BUFFET,,,"",,,"",,,"",,,"",
605,58.64,1,UN,3.5,3.5,AGUA,1,0.804,KG,55.15,68.6,BUFFET,,,"",,,"",,,"",,,"",
606,41.13,0.534,KG,36.63,68.6,BUFFET,1,1,UN,4.5,4.5,SUCO,,,"",,,"",,,"",,,"",
607,41.12,2,UN,13,6.5,SUSHI ESPECIAL,1,0.41,KG,28.12,68.6,BUFFET,,,"",,,"",,,"",,,"",
608,39.34,0.508,KG,34.84,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
609,52.92,1,UN,4.5,4.5,SUCO,1,0.706,KG,48.43,68.6,BUFFET,,,"",,,"",,,"",,,"",
610,26.04,0.314,KG,21.54,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
611,43.36,0.5,KG,34.37,68.6,BUFFET,1,2,UN,9,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
612,57.04,0.766,KG,52.54,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
613,29.47,0.364,KG,24.97,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
614,31.11,0.388,KG,26.61,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
615,40.27,0.46,KG,31.28,68.6,BUFFET,1,2,UN,9,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
616,38.24,0.492,KG,33.75,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
617,41.98,2,UN,7,3.5,AGUA,1,0.51,KG,34.98,68.6,BUFFET,,,"",,,"",,,"",,,"",
618,45.24,0.594,KG,40.74,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
619,41.13,0.534,KG,36.63,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
620,27.95,0.342,KG,23.46,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
621,57.04,0.766,KG,52.54,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
622,26.86,0.326,KG,22.36,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
623,33.86,0.428,KG,29.36,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
624,37.97,0.488,KG,33.47,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
625,24.53,0.292,KG,20.03,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
626,69.25,0.944,KG,64.75,68.6,BUFFET,1,1,UN,4.5,4.5,CERVEJA,,,"",,,"",,,"",,,"",
627,37.55,0.482,KG,33.06,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
628,32.76,0.412,KG,28.26,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
629,33.17,0.418,KG,28.67,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
630,26.58,0.322,KG,22.08,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
631,60.02,1,UN,3.5,3.5,AGUA,1,0.824,KG,56.52,68.6,BUFFET,,,"",,,"",,,"",,,"",
632,24.93,0.298,KG,20.44,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
633,24.76,1,UN,3.5,3.5,AGUA,1,0.31,KG,21.26,68.6,BUFFET,,,"",,,"",,,"",,,"",
634,77.57,1,UN,3.5,3.5,AGUA,1,1.08,KG,74.08,68.6,BUFFET,,,"",,,"",,,"",,,"",
635,43.15,1,UN,3.5,3.5,AGUA,1,0.578,KG,39.65,68.6,BUFFET,,,"",,,"",,,"",,,"",
636,38.8,0.5,KG,34.3,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
637,43.41,1,UN,3.5,3.5,AGUA,1,0.582,KG,39.92,68.6,BUFFET,,,"",,,"",,,"",,,"",
638,27,0.328,KG,22.5,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
639,21.92,0.254,KG,17.42,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
640,34.54,1,UN,4.5,4.5,SUCO,1,0.438,KG,30.04,68.6,BUFFET,,,"",,,"",,,"",,,"",
641,44.14,0.578,KG,39.65,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
642,27.27,0.332,KG,22.77,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
643,27.13,0.33,KG,22.63,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
644,32.58,1,UN,3.5,3.5,AGUA,1,0.424,KG,29.08,68.6,BUFFET,,,"",,,"",,,"",,,"",
645,20.78,1,UN,3.5,3.5,AGUA,1,0.252,KG,17.28,68.6,BUFFET,,,"",,,"",,,"",,,"",
646,19.31,1,UN,4.5,4.5,SUCO,1,0.216,KG,14.81,68.6,BUFFET,,,"",,,"",,,"",,,"",
647,31.39,0.392,KG,26.89,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
648,52.1,0.694,KG,47.6,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
649,19.68,1,UN,3.5,3.5,AGUA,1,0.236,KG,16.18,68.6,BUFFET,,,"",,,"",,,"",,,"",
650,32.31,1,UN,3.5,3.5,AGUA,1,0.42,KG,28.81,68.6,BUFFET,,,"",,,"",,,"",,,"",
651,49.87,1,UN,3.5,3.5,AGUA,1,0.676,KG,46.37,68.6,BUFFET,,,"",,,"",,,"",,,"",
652,55.77,2,UN,7,3.5,AGUA,1,0.71,KG,48.77,68.6,BUFFET,,,"",,,"",,,"",,,"",
653,45.34,1,UN,3.5,3.5,AGUA,1,0.61,KG,41.84,68.6,BUFFET,,,"",,,"",,,"",,,"",
654,67.85,0.86,KG,58.85,68.6,BUFFET,1,2,UN,9,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
655,78.16,1.074,KG,73.67,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
656,33.17,0.418,KG,28.67,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
657,36.74,0.47,KG,32.24,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
658,49.44,1,UN,3.5,3.5,AGUA,1,0.67,KG,45.96,68.6,BUFFET,,,"",,,"",,,"",,,"",
659,34.13,0.432,KG,29.63,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
660,30.25,1,UN,3.5,3.5,AGUA,1,0.39,KG,26.75,68.6,BUFFET,,,"",,,"",,,"",,,"",
661,27.51,1,UN,3.5,3.5,AGUA,1,0.35,KG,24.01,68.6,BUFFET,,,"",,,"",,,"",,,"",
662,31.94,0.4,KG,27.44,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
663,47.81,1,UN,3.5,3.5,AGUA,1,0.646,KG,44.31,68.6,BUFFET,,,"",,,"",,,"",,,"",
664,41.67,0.542,KG,37.18,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
665,69.52,0.948,KG,65.03,68.6,BUFFET,1,1,UN,4.5,4.5,SUCO,,,"",,,"",,,"",,,"",
666,58.82,0.792,KG,54.33,68.6,BUFFET,1,1,UN,4.5,4.5,SUCO,,,"",,,"",,,"",,,"",
667,27,0.328,KG,22.5,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
668,21.37,0.246,KG,16.87,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
669,93.43,2,UN,7,3.5,AGUA,1,1.26,KG,86.43,68.6,BUFFET,,,"",,,"",,,"",,,"",
670,73.37,1,UN,4.5,4.5,SUCO,1,1.004,KG,68.87,68.6,BUFFET,,,"",,,"",,,"",,,"",
671,49.45,1,UN,3.5,3.5,AGUA,1,0.67,KG,45.96,68.6,BUFFET,,,"",,,"",,,"",,,"",
672,46.75,0.616,KG,42.25,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
673,85.99,1.188,KG,81.49,68.6,BUFFET,1,1,UN,4.5,4.5,CERVEJA,,,"",,,"",,,"",,,"",
674,30.79,1,UN,3.5,3.5,AGUA,1,0.398,KG,27.3,68.6,BUFFET,,,"",,,"",,,"",,,"",
675,32.62,1,UN,4.5,4.5,SUCO,1,0.41,KG,28.12,68.6,BUFFET,,,"",,,"",,,"",,,"",
676,19.86,1,UN,4.5,4.5,SUCO,1,0.224,KG,15.36,68.6,BUFFET,,,"",,,"",,,"",,,"",
677,82.38,1,UN,3.5,3.5,AGUA,1,1.15,KG,78.89,68.6,BUFFET,,,"",,,"",,,"",,,"",
678,38.11,0.49,KG,33.61,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
679,18.42,1,UN,1,1,CHA,1,0.254,KG,17.42,68.6,BUFFET,,,"",,,"",,,"",,,"",
680,21.3,1,UN,1,1,CHA,1,0.296,KG,20.3,68.6,BUFFET,,,"",,,"",,,"",,,"",
681,21.65,1,UN,4.5,4.5,SUCO,1,0.25,KG,17.15,68.6,BUFFET,,,"",,,"",,,"",,,"",
682,23.8,1,UN,3.5,3.5,AGUA,1,0.296,KG,20.3,68.6,BUFFET,,,"",,,"",,,"",,,"",
683,50.86,0.676,KG,46.37,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
684,31.76,1,UN,3.5,3.5,AGUA,1,0.412,KG,28.26,68.6,BUFFET,,,"",,,"",,,"",,,"",
685,48.54,0.642,KG,44.04,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
