Cliente,valorTotal,qCom,uCom,vProd,vUnCom,xProd,indTot,qCom (2),uCom (2),vProd (2),vUnCom (2),xProd (2),indTot (2),qCom (3),uCom (3),vProd (3),vUnCom (3),xProd (3),indTot (3),qCom (4),uCom (4),vProd (4),vUnCom (4),xProd (4),Scored Labels
914,29.88,1,UN,4.5,4.5,LIMONADA,1,0.37,KG,25.38,68.6,BUFFET,,,"",,,"",,,"",,,"",
915,29.33,0.362,KG,24.83,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
916,76.54,2,UN,7,3.5,AGUA,1,1.01,KG,69.55,68.6,BUFFET,,,"",,,"",,,"",,,"",
917,23.84,0.282,KG,19.34,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
918,27.82,0.34,KG,23.32,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
919,27.06,1,UN,1,1,CHA,1,0.38,KG,26.06,68.6,BUFFET,,,"",,,"",,,"",,,"",
920,50.14,1,UN,3.5,3.5,AGUA,1,0.68,KG,46.64,68.6,BUFFET,,,"",,,"",,,"",,,"",
921,26.17,1,UN,4.5,4.5,SUCO,1,0.316,KG,21.67,68.6,BUFFET,,,"",,,"",,,"",,,"",
922,26.31,0.318,KG,21.81,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
923,22.54,1,UN,1,1,CHA,1,0.314,KG,21.54,68.6,BUFFET,,,"",,,"",,,"",,,"",
924,54.3,0.726,KG,49.8,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
925,34.4,0.436,KG,29.9,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
926,67.18,0.914,KG,62.7,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
927,56.21,0.754,KG,51.72,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
928,30.15,0.374,KG,25.65,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
929,23.84,0.282,KG,19.34,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
930,26.86,0.326,KG,22.36,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
931,33.31,1,UN,1,1,CHA,1,0.47,KG,32.31,68.6,BUFFET,,,"",,,"",,,"",,,"",
932,26.04,0.314,KG,21.54,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
933,38.07,1,UN,3.5,3.5,AGUA,1,0.504,KG,34.57,68.6,BUFFET,,,"",,,"",,,"",,,"",
934,28.37,0.348,KG,23.87,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
935,40.3,0.522,KG,35.8,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
936,61.91,1,UN,1,1,CHA,1,0.888,KG,60.91,68.6,BUFFET,,,"",,,"",,,"",,,"",
937,40.98,0.532,KG,36.49,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
938,29.47,1,UN,4.5,4.5,SUCO,1,0.364,KG,24.97,68.6,BUFFET,,,"",,,"",,,"",,,"",
939,32.62,0.41,KG,28.12,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
940,26.86,1,UN,4.5,4.5,LIMONADA,1,0.326,KG,22.36,68.6,BUFFET,,,"",,,"",,,"",,,"",
941,46.58,1,UN,3.5,3.5,AGUA,1,0.628,KG,43.08,68.6,BUFFET,,,"",,,"",,,"",,,"",
942,46.03,1,UN,3.5,3.5,AGUA,1,0.62,KG,42.53,68.6,BUFFET,,,"",,,"",,,"",,,"",
943,54.57,0.73,KG,50.07,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
944,86.66,1.198,KG,82.18,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
945,24.39,1,UN,4.5,4.5,LIMONADA,1,0.29,KG,19.89,68.6,BUFFET,,,"",,,"",,,"",,,"",
946,21.65,0.25,KG,17.15,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
947,45.52,0.598,KG,41.02,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
948,39.34,0.508,KG,34.84,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
949,26.41,1,UN,3.5,3.5,AGUA,1,0.334,KG,22.91,68.6,BUFFET,,,"",,,"",,,"",,,"",
950,34.95,0.444,KG,30.45,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
951,34.82,0.442,KG,30.32,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
952,41.5,1,UN,3.5,3.5,AGUA,1,0.554,KG,38,68.6,BUFFET,,,"",,,"",,,"",,,"",
953,33.03,0.416,KG,28.53,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
954,26.41,1,UN,3.5,3.5,AGUA,1,0.334,KG,22.91,68.6,BUFFET,,,"",,,"",,,"",,,"",
955,41.4,1,UN,4.5,4.5,LIMONADA,1,0.538,KG,36.9,68.6,BUFFET,,,"",,,"",,,"",,,"",
956,32.48,0.408,KG,27.98,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
957,29.73,0.368,KG,25.24,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
958,53.82,1,UN,1,1,CHA,1,0.77,KG,52.82,68.6,BUFFET,,,"",,,"",,,"",,,"",
959,81.02,2,UN,9,4.5,SUCO,1,1.05,KG,72.03,68.6,BUFFET,,,"",,,"",,,"",,,"",
960,80.23,1.104,KG,75.73,68.6,BUFFET,1,1,UN,4.5,4.5,SUCO,,,"",,,"",,,"",,,"",
961,67.42,1,UN,3.5,3.5,AGUA,1,0.932,KG,63.93,68.6,BUFFET,,,"",,,"",,,"",,,"",
962,25.62,1,UN,4.5,4.5,SUCO,1,0.308,KG,21.12,68.6,BUFFET,,,"",,,"",,,"",,,"",
963,34.4,0.436,KG,29.9,68.6,BUFFET,1,1,UN,4.5,4.5,SUCO,,,"",,,"",,,"",,,"",
964,34.4,0.436,KG,29.9,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
965,55.77,1,UN,3.5,3.5,AGUA,1,0.762,KG,52.27,68.6,BUFFET,,,"",,,"",,,"",,,"",
966,27.51,1,UN,3.5,3.5,AGUA,1,0.35,KG,24.01,68.6,BUFFET,,,"",,,"",,,"",,,"",
967,48.76,1,UN,3.5,3.5,AGUA,1,0.66,KG,45.27,68.6,BUFFET,,,"",,,"",,,"",,,"",
968,45.78,0.602,KG,41.29,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
969,24.25,1,UN,4.5,4.5,SUCO,1,0.288,KG,19.75,68.6,BUFFET,,,"",,,"",,,"",,,"",
970,31.94,0.4,KG,27.44,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
971,22.26,1,UN,1,1,CHA,1,0.31,KG,21.26,68.6,BUFFET,,,"",,,"",,,"",,,"",
972,25.08,0.3,KG,20.58,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
973,85.15,1.176,KG,80.67,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
974,74.68,1,UN,3.5,3.5,AGUA,1,1.038,KG,71.2,68.6,BUFFET,,,"",,,"",,,"",,,"",
975,34.23,1,UN,3.5,3.5,AGUA,1,0.448,KG,30.73,68.6,BUFFET,,,"",,,"",,,"",,,"",
976,66.5,0.904,KG,62.01,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
977,22.33,0.26,KG,17.83,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
978,33.31,0.42,KG,28.81,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
979,50.32,0.668,KG,45.82,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
980,64.13,1,UN,3.5,3.5,AGUA,1,0.884,KG,60.64,68.6,BUFFET,,,"",,,"",,,"",,,"",
981,27.96,0.342,KG,23.46,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
982,36.39,1,UN,1,1,CHA,1,0.516,KG,35.39,68.6,BUFFET,,,"",,,"",,,"",,,"",
983,26.04,1,UN,4.5,4.5,SUCO,1,0.314,KG,21.54,68.6,BUFFET,,,"",,,"",,,"",,,"",
984,41.91,1,UN,3.5,3.5,AGUA,1,0.56,KG,38.41,68.6,BUFFET,,,"",,,"",,,"",,,"",
985,29.74,1,UN,4.5,4.5,LIMONADA,1,0.368,KG,25.24,68.6,BUFFET,,,"",,,"",,,"",,,"",
986,26.04,0.314,KG,21.54,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
987,40.42,1,UN,4.9,4.9,SUCO,1,0.518,KG,35.53,68.6,BUFFET,,,"",,,"",,,"",,,"",
988,31.76,1,UN,3.5,3.5,AGUA,1,0.412,KG,28.26,68.6,BUFFET,,,"",,,"",,,"",,,"",
989,71.82,1,UN,3.5,3.5,AGUA,1,0.996,KG,68.32,68.6,BUFFET,,,"",,,"",,,"",,,"",
990,51.24,1,UN,3.5,3.5,AGUA,1,0.696,KG,47.74,68.6,BUFFET,,,"",,,"",,,"",,,"",
991,27.47,1,UN,1,1,CHA,1,0.386,KG,26.47,68.6,BUFFET,,,"",,,"",,,"",,,"",
992,22.29,1,UN,3.5,3.5,AGUA,1,0.274,KG,18.79,68.6,BUFFET,,,"",,,"",,,"",,,"",
993,58.38,0.72,KG,49.38,68.6,BUFFET,1,2,UN,9,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
994,31.52,0.394,KG,27.02,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
995,29.33,0.362,KG,24.83,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
996,24.11,1,UN,4.5,4.5,SUCO,1,0.286,KG,19.61,68.6,BUFFET,,,"",,,"",,,"",,,"",
997,25.35,0.304,KG,20.85,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
998,58.25,0.718,KG,49.25,68.6,BUFFET,1,2,UN,9,4.5,SUCO,,,"",,,"",,,"",,,"",
999,49.06,0.584,KG,40.06,68.6,BUFFET,1,2,UN,9,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
1000,31.21,1,UN,3.5,3.5,AGUA,1,0.404,KG,27.71,68.6,BUFFET,,,"",,,"",,,"",,,"",
1001,27.13,0.33,KG,22.63,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
1002,24.08,1,UN,3.5,3.5,AGUA,1,0.3,KG,20.58,68.6,BUFFET,,,"",,,"",,,"",,,"",
1003,28.88,1,UN,3.5,3.5,AGUA,1,0.37,KG,25.38,68.6,BUFFET,,,"",,,"",,,"",,,"",
1004,70.04,1,UN,3.5,3.5,AGUA,1,0.97,KG,66.54,68.6,BUFFET,,,"",,,"",,,"",,,"",
1005,32.9,0.414,KG,28.4,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
1006,29.33,0.362,KG,24.83,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
1007,36.6,0.468,KG,32.1,68.6,BUFFET,1,1,UN,4.5,4.5,SUCO,,,"",,,"",,,"",,,"",
1008,38.79,0.5,KG,34.3,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
1009,71.12,1,UN,3.5,3.5,AGUA,1,0.986,KG,67.63,68.6,BUFFET,,,"",,,"",,,"",,,"",
1010,28.33,1,UN,3.5,3.5,AGUA,1,0.362,KG,24.83,68.6,BUFFET,,,"",,,"",,,"",,,"",
1011,51.65,1,UN,3.5,3.5,AGUA,1,0.702,KG,48.15,68.6,BUFFET,,,"",,,"",,,"",,,"",
1012,51.67,5,UN,30,6,CERVEJA,1,0.316,KG,21.67,68.6,BUFFET,,,"",,,"",,,"",,,"",
1013,31.51,1,UN,6,6,CERVEJA,1,0.372,KG,25.51,68.6,BUFFET,,,"",,,"",,,"",,,"",
1014,33.13,1,UN,3.5,3.5,AGUA,1,0.432,KG,29.63,68.6,BUFFET,,,"",,,"",,,"",,,"",
1015,40.16,1,UN,6,6,CERVEJA,1,0.498,KG,34.16,68.6,BUFFET,,,"",,,"",,,"",,,"",
1016,62.73,1,UN,1,1,CHA,1,0.9,KG,61.74,68.6,BUFFET,,,"",,,"",,,"",,,"",
1017,64.48,2,UN,7,3.5,AGUA,1,0.838,KG,57.48,68.6,BUFFET,,,"",,,"",,,"",,,"",
1018,30.01,0.372,KG,25.51,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
1019,21.92,0.254,KG,17.42,68.6,BUFFET,1,1,UN,4.5,4.5,SUCO,,,"",,,"",,,"",,,"",
1020,112.17,1.446,KG,99.19,68.6,BUFFET,1,2,UN,13,6.5,CERVEJA LATA,,,"",,,"",,,"",,,"",
1021,104.08,1.328,KG,91.1,68.6,BUFFET,1,2,UN,13,6.5,CERVEJA LATA,,,"",,,"",,,"",,,"",
1022,41.73,1,UN,1,1,CHA,1,0.594,KG,40.74,68.6,BUFFET,,,"",,,"",,,"",,,"",
1023,95.1,1,UN,1,1,CHA,1,1.372,KG,94.11,68.6,BUFFET,,,"",,,"",,,"",,,"",
1024,65.27,0.886,KG,60.77,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
1025,37.37,1,UN,3.5,3.5,AGUA,1,0.494,KG,33.88,68.6,BUFFET,,,"",,,"",,,"",,,"",
1026,41.37,2,UN,9,4.5,LIMONADA,1,0.472,KG,32.37,68.6,BUFFET,,,"",,,"",,,"",,,"",
1027,71.94,1,UN,3.5,3.5,AGUA,1,0.998,KG,68.46,68.6,BUFFET,,,"",,,"",,,"",,,"",
1028,23.01,1,UN,4.5,4.5,SUCO,1,0.27,KG,18.51,68.6,BUFFET,,,"",,,"",,,"",,,"",
1029,37.64,1,UN,3.5,3.5,AGUA,1,0.498,KG,34.16,68.6,BUFFET,,,"",,,"",,,"",,,"",
1030,39.48,0.51,KG,34.98,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
1031,75.83,1.04,KG,71.34,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
1032,28.09,0.344,KG,23.59,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
1033,33.03,0.416,KG,28.53,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
1034,35.11,1,UN,14.4,14.4,TEMAKI,1,0.302,KG,20.71,68.6,BUFFET,,,"",,,"",,,"",,,"",
1035,32.17,1,UN,3.5,3.5,AGUA,1,0.418,KG,28.67,68.6,BUFFET,,,"",,,"",,,"",,,"",
1036,35.71,1,UN,15,15,SAKE,1,0.302,KG,20.71,68.6,BUFFET,,,"",,,"",,,"",,,"",
1037,53.05,0.708,KG,48.56,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
1038,74.55,0.992,KG,68.05,68.6,BUFFET,1,1,UN,6.5,6.5,CERVEJA LATA,,,"",,,"",,,"",,,"",
1039,65.4,0.888,KG,60.91,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
1040,55.9,2,UN,2,1,CHA,1,0.786,KG,53.91,68.6,BUFFET,,,"",,,"",,,"",,,"",
1041,43.83,1,UN,3.5,3.5,AGUA,1,0.588,KG,40.33,68.6,BUFFET,,,"",,,"",,,"",,,"",
1042,31.89,1,UN,3.5,3.5,AGUA,1,0.414,KG,28.4,68.6,BUFFET,,,"",,,"",,,"",,,"",
1043,40.41,0.458,KG,31.41,68.6,BUFFET,1,2,UN,9,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
1044,30.39,1,UN,3.5,3.5,AGUA,1,0.392,KG,26.89,68.6,BUFFET,,,"",,,"",,,"",,,"",
1045,68.27,0.93,KG,63.79,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
1046,31.76,1,UN,3.5,3.5,AGUA,1,0.412,KG,28.26,68.6,BUFFET,,,"",,,"",,,"",,,"",
1047,77.86,1.004,KG,68.87,68.6,BUFFET,1,2,UN,9,4.5,CERVEJA,,,"",,,"",,,"",,,"",
1048,29.01,1,UN,3.5,3.5,AGUA,1,0.372,KG,25.51,68.6,BUFFET,,,"",,,"",,,"",,,"",
1049,84.34,1.164,KG,79.85,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
1050,65.07,0.902,KG,61.87,68.6,BUFFET,1,1,UN,3.2,3.2,DOCINHOS,,,"",,,"",,,"",,,"",
1051,42.91,0.56,KG,38.41,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
1052,40.3,0.522,KG,35.8,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
1053,31.04,1,UN,1,1,CHA,1,0.438,KG,30.04,68.6,BUFFET,,,"",,,"",,,"",,,"",
1054,36.33,0.464,KG,31.83,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
1055,37.52,1,UN,3.5,3.5,AGUA,1,0.496,KG,34.02,68.6,BUFFET,,,"",,,"",,,"",,,"",
1056,21.61,1,UN,3.5,3.5,AGUA,1,0.264,KG,18.11,68.6,BUFFET,,,"",,,"",,,"",,,"",
1057,41.26,0.536,KG,36.76,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
1058,24.53,1,UN,4.5,4.5,LIMONADA,1,0.292,KG,20.03,68.6,BUFFET,,,"",,,"",,,"",,,"",
1059,52.78,0.704,KG,48.29,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
1060,36.59,0.468,KG,32.1,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
1061,32.48,1,UN,4.5,4.5,LIMONADA,1,0.408,KG,27.98,68.6,BUFFET,,,"",,,"",,,"",,,"",
1062,29.47,0.364,KG,24.97,68.6,BUFFET,1,1,UN,4.5,4.5,SUCO,,,"",,,"",,,"",,,"",
1063,41.54,1,UN,4.5,4.5,LIMONADA,1,0.54,KG,37.04,68.6,BUFFET,,,"",,,"",,,"",,,"",
1064,32.21,0.404,KG,27.71,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
1065,63.68,1,UN,1,1,CHA,1,0.914,KG,62.7,68.6,BUFFET,,,"",,,"",,,"",,,"",
1066,57.28,1,UN,3.5,3.5,AGUA,1,0.784,KG,53.78,68.6,BUFFET,,,"",,,"",,,"",,,"",
1067,26.38,1,UN,1,1,CHA,1,0.37,KG,25.38,68.6,BUFFET,,,"",,,"",,,"",,,"",
1068,33.44,0.422,KG,28.94,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
1069,28.37,0.348,KG,23.87,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
1070,48.53,0.642,KG,44.04,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
1071,36.05,0.46,KG,31.55,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
1072,57.42,2,UN,9,4.5,SUCO,1,0.706,KG,48.43,68.6,BUFFET,,,"",,,"",,,"",,,"",
1073,47.94,1,UN,3.5,3.5,AGUA,1,0.648,KG,44.45,68.6,BUFFET,,,"",,,"",,,"",,,"",
1074,43.45,0.568,KG,38.96,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
1075,32.35,0.406,KG,27.85,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
1076,79.55,4,UN,24,6,CERVEJA,1,0.81,KG,55.56,68.6,BUFFET,,,"",,,"",,,"",,,"",
1077,32.21,0.404,KG,27.71,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
1078,41.08,1,UN,3.5,3.5,AGUA,1,0.548,KG,37.59,68.6,BUFFET,,,"",,,"",,,"",,,"",
1079,68.24,1,UN,3.5,3.5,AGUA,1,0.944,KG,64.75,68.6,BUFFET,,,"",,,"",,,"",,,"",
1080,66.23,0.9,KG,61.74,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
1081,86.91,2,UN,9,4.5,LIMONADA,1,1.136,KG,77.92,68.6,BUFFET,,,"",,,"",,,"",,,"",
1082,47.99,0.634,KG,43.49,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
1083,77.16,2,UN,7,3.5,AGUA,1,1.02,KG,70.17,68.6,BUFFET,,,"",,,"",,,"",,,"",
1084,26.86,0.326,KG,22.36,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
1085,31.52,0.394,KG,27.02,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
1086,71.82,0.916,KG,62.83,68.6,BUFFET,1,2,UN,9,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
1087,58.96,0.794,KG,54.46,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
1088,59.24,0.798,KG,54.74,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
1089,27.68,0.338,KG,23.18,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
1090,110.57,2,UN,7,3.5,AGUA,1,1.51,KG,103.58,68.6,BUFFET,,,"",,,"",,,"",,,"",
1091,87.19,1.14,KG,78.2,68.6,BUFFET,1,2,UN,9,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
1092,139.72,4,UN,26,6.5,SUSHI ESPECIAL,1,1.658,KG,113.73,68.6,BUFFET,,,"",,,"",,,"",,,"",
1093,65.64,0.826,KG,56.66,68.6,BUFFET,1,2,UN,9,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
1094,63.48,2,UN,13,6.5,SUSHI ESPECIAL,1,0.736,KG,50.48,68.6,BUFFET,,,"",,,"",,,"",,,"",
1095,20.96,0.24,KG,16.46,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
1096,33.67,1,UN,5,5,CERVEJA,1,0.418,KG,28.67,68.6,BUFFET,,,"",,,"",,,"",,,"",
1097,111.98,1.436,KG,98.5,68.6,BUFFET,1,3,UN,13.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
1098,49.31,1,UN,3.5,3.5,AGUA,1,0.668,KG,45.82,68.6,BUFFET,,,"",,,"",,,"",,,"",
1099,25.48,1,UN,4.5,4.5,SUCO,1,0.306,KG,20.99,68.6,BUFFET,,,"",,,"",,,"",,,"",
1100,64.22,3,UN,19.5,6.5,SUSHI ESPECIAL,1,0.652,KG,44.72,68.6,BUFFET,,,"",,,"",,,"",,,"",
1101,80.91,1.114,KG,76.42,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
1102,65.91,1,UN,3.5,3.5,AGUA,1,0.91,KG,62.42,68.6,BUFFET,,,"",,,"",,,"",,,"",
1103,75.15,1.03,KG,70.65,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
1104,37.83,0.486,KG,33.33,68.6,BUFFET,1,1,UN,4.5,4.5,SUCO,,,"",,,"",,,"",,,"",
1105,36.18,1,UN,4.5,4.5,LIMONADA,1,0.462,KG,31.69,68.6,BUFFET,,,"",,,"",,,"",,,"",
1106,31.38,0.392,KG,26.89,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
1107,27.68,0.338,KG,23.18,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
1108,37,0.474,KG,32.51,68.6,BUFFET,1,1,UN,4.5,4.5,CERVEJA,,,"",,,"",,,"",,,"",
1109,35.17,3,UN,13.5,4.5,SUCO,1,0.316,KG,21.67,68.6,BUFFET,,,"",,,"",,,"",,,"",
1110,42.87,3,UN,10.5,3.5,AGUA,1,0.472,KG,32.37,68.6,BUFFET,,,"",,,"",,,"",,,"",
1111,38.21,3,UN,10.5,3.5,AGUA,1,0.404,KG,27.71,68.6,BUFFET,,,"",,,"",,,"",,,"",
1112,31.87,1,UN,1,1,CHA,1,0.45,KG,30.87,68.6,BUFFET,,,"",,,"",,,"",,,"",
1113,36.01,3,UN,10.5,3.5,AGUA,1,0.372,KG,25.51,68.6,BUFFET,,,"",,,"",,,"",,,"",
1114,61.51,0.7,KG,48.02,68.6,BUFFET,1,3,UN,13.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
1115,40.39,0.392,KG,26.89,68.6,BUFFET,1,3,UN,13.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
1116,45.21,3,UN,10.5,3.5,AGUA,1,0.506,KG,34.71,68.6,BUFFET,,,"",,,"",,,"",,,"",
1117,32.29,0.376,KG,25.79,68.6,BUFFET,1,1,UN,6.5,6.5,CERVEJA LATA,,,"",,,"",,,"",,,"",
1118,39.58,3,UN,10.5,3.5,AGUA,1,0.424,KG,29.08,68.6,BUFFET,,,"",,,"",,,"",,,"",
1119,42.44,0.422,KG,28.94,68.6,BUFFET,1,3,UN,13.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
1120,32.29,0.274,KG,18.79,68.6,BUFFET,1,3,UN,13.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
1121,31.33,0.26,KG,17.83,68.6,BUFFET,1,3,UN,13.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
